fare_amount,trip_distance,hour,date,RatecodeID,payment_type,extra,tolls_amount,PickUDropO
16.0,2.35,8,2017-05-02,1,1,0.0,0.0,495
5.0,0.73,8,2017-05-02,1,1,0.0,0.0,180
4.5,0.57,8,2017-05-02,1,1,0.0,0.0,350
7.5,1.18,8,2017-05-02,1,2,0.0,0.0,380
16.5,2.6,8,2017-05-02,1,1,0.0,0.0,423
6.5,0.8,8,2017-05-02,1,1,0.0,0.0,214
6.0,0.7,8,2017-05-02,1,2,0.0,0.0,294
5.0,0.4,8,2017-05-02,1,1,0.0,0.0,332
52.0,21.43,8,2017-05-02,2,1,0.0,5.76,293
18.0,4.08,8,2017-05-02,1,2,0.0,0.0,80
7.5,0.9,8,2017-05-02,1,1,0.0,0.0,93
10.5,1.5,8,2017-05-02,1,1,0.0,0.0,334
6.5,0.4,8,2017-05-02,1,1,0.0,0.0,378
7.5,1.09,8,2017-05-02,1,1,0.0,0.0,498
4.0,0.33,8,2017-05-02,1,1,0.0,0.0,214
5.0,0.7,8,2017-05-02,1,2,0.0,0.0,96
5.5,0.8,8,2017-05-02,1,1,0.0,0.0,404
24.0,4.01,8,2017-05-02,1,1,0.0,0.0,252
10.0,1.32,8,2017-05-02,1,2,0.0,0.0,326
4.5,0.5,8,2017-05-02,1,1,0.0,0.0,280
10.0,0.7,8,2017-05-02,1,3,0.0,0.0,390
7.5,0.6,8,2017-05-02,1,1,0.0,0.0,398
8.5,0.7,8,2017-05-02,1,1,0.0,0.0,118
4.0,0.4,8,2017-05-02,1,1,0.0,0.0,377
14.5,3.2,8,2017-05-02,1,1,0.0,0.0,415
9.5,1.2,8,2017-05-02,1,1,0.0,0.0,372
11.5,2.3,8,2017-05-02,1,1,0.0,0.0,262
21.0,2.35,8,2017-05-02,1,1,0.0,0.0,241
8.0,1.73,8,2017-05-02,1,2,0.0,0.0,475
13.5,1.8,8,2017-05-02,1,1,0.0,0.0,282
7.0,1.09,8,2017-05-02,1,2,0.0,0.0,116
13.0,2.0,8,2017-05-02,1,1,0.0,0.0,127
14.0,2.75,8,2017-05-02,1,1,0.0,0.0,381
10.5,1.1,8,2017-05-02,1,1,0.0,0.0,280
7.0,0.9,8,2017-05-02,1,1,0.0,0.0,261
17.0,2.2,8,2017-05-02,1,1,0.0,0.0,268
10.0,1.94,8,2017-05-02,1,1,0.0,0.0,480
7.5,1.6,8,2017-05-02,1,2,0.0,0.0,473
45.5,10.7,8,2017-05-02,1,1,0.0,5.76,300
8.0,1.28,8,2017-05-02,1,1,0.0,0.0,389
6.0,0.75,8,2017-05-02,1,2,0.0,0.0,462
150.0,27.05,8,2017-05-02,5,1,0.0,5.76,403
5.5,1.0,8,2017-05-02,1,1,0.0,0.0,191
4.5,0.86,8,2017-05-02,1,1,0.0,0.0,472
4.0,0.3,8,2017-05-02,1,2,0.0,0.0,336
10.0,1.89,8,2017-05-02,1,2,0.0,0.0,321
7.5,1.15,8,2017-05-02,1,1,0.0,0.0,204
9.5,1.4,8,2017-05-02,1,1,0.0,0.0,234
10.5,1.4,8,2017-05-02,1,1,0.0,0.0,322
15.5,4.8,8,2017-05-02,1,1,0.0,0.0,482
6.5,1.2,8,2017-05-02,1,2,0.0,0.0,390
8.5,1.4,8,2017-05-02,1,2,0.0,0.0,283
7.5,1.6,8,2017-05-02,1,1,0.0,0.0,101
4.5,0.2,8,2017-05-02,1,1,0.0,0.0,281
7.5,0.64,8,2017-05-02,1,1,0.0,0.0,474
7.5,1.39,8,2017-05-02,1,2,0.0,0.0,238
9.0,0.98,8,2017-05-02,1,1,0.0,0.0,210
17.0,2.1,8,2017-05-02,1,2,0.0,0.0,398
9.5,0.72,8,2017-05-02,1,2,0.0,0.0,420
10.0,1.4,8,2017-05-02,1,1,0.0,0.0,528
6.0,0.94,8,2017-05-02,1,1,0.0,0.0,377
15.0,1.81,8,2017-05-02,1,2,0.0,0.0,207
12.5,2.17,8,2017-05-02,1,1,0.0,0.0,295
31.0,7.0,8,2017-05-02,1,1,0.0,0.0,251
8.0,1.2,8,2017-05-02,1,1,0.0,0.0,325
15.5,2.3,8,2017-05-02,1,1,0.0,0.0,410
8.5,1.74,8,2017-05-02,1,1,0.0,0.0,310
7.0,0.55,8,2017-05-02,1,2,0.0,0.0,340
65.5,16.0,8,2017-05-02,3,2,0.0,12.5,163
18.5,2.8,8,2017-05-02,1,2,0.0,0.0,350
10.0,1.5,8,2017-05-02,1,1,0.0,0.0,467
52.0,17.36,8,2017-05-02,2,1,0.0,5.76,302
14.0,2.98,8,2017-05-02,1,1,0.0,0.0,81
27.5,6.9,8,2017-05-02,1,2,0.0,0.0,447
6.0,1.0,8,2017-05-02,1,1,0.0,0.0,186
9.5,1.3,8,2017-05-02,1,1,0.0,0.0,210
9.5,1.0,8,2017-05-02,1,1,0.0,0.0,212
5.0,0.5,8,2017-05-02,1,1,0.0,0.0,472
8.0,1.0,8,2017-05-02,1,1,0.0,0.0,302
6.5,1.0,8,2017-05-02,1,1,0.0,0.0,476
10.0,1.79,8,2017-05-02,1,2,0.0,0.0,116
24.0,7.28,8,2017-05-02,1,2,0.0,0.0,474
16.0,2.1,8,2017-05-02,1,1,0.0,0.0,408
17.5,4.6,8,2017-05-02,1,2,0.0,0.0,311
6.5,0.9,8,2017-05-02,1,1,0.0,0.0,313
4.0,0.4,8,2017-05-02,1,1,0.0,0.0,382
9.0,0.7,8,2017-05-02,1,1,0.0,0.0,356
5.0,0.0,8,2017-05-02,1,2,0.0,0.0,414
12.0,0.94,8,2017-05-02,1,1,0.0,0.0,302
8.5,1.1,8,2017-05-02,1,1,0.0,0.0,193
15.5,3.61,8,2017-05-02,1,2,0.0,0.0,203
27.5,9.15,8,2017-05-02,1,1,0.0,5.76,308
6.0,1.1,8,2017-05-02,1,1,0.0,0.0,248
4.0,0.48,8,2017-05-02,1,1,0.0,0.0,175
26.0,6.27,8,2017-05-02,1,1,0.0,0.0,469
7.5,1.32,8,2017-05-02,1,1,0.0,0.0,250
14.5,2.35,8,2017-05-02,1,1,0.0,0.0,288
18.5,3.7,8,2017-05-02,1,2,0.0,0.0,199
8.5,1.3,8,2017-05-02,1,1,0.0,0.0,331
13.0,2.4,8,2017-05-02,1,1,0.0,0.0,405
20.5,4.7,8,2017-05-02,1,2,0.0,0.0,322
11.5,1.1,8,2017-05-02,1,1,0.0,0.0,370
11.0,2.51,8,2017-05-02,1,2,0.0,0.0,237
17.5,4.4,8,2017-05-02,1,2,0.0,0.0,320
30.5,5.28,8,2017-05-02,1,2,0.0,0.0,456
11.5,1.73,8,2017-05-02,1,1,0.0,0.0,229
5.0,0.85,8,2017-05-02,1,2,0.0,0.0,389
18.0,3.15,8,2017-05-02,1,1,0.0,0.0,363
8.5,1.2,8,2017-05-02,1,2,0.0,0.0,376
7.0,1.4,8,2017-05-02,1,2,0.0,0.0,377
11.5,1.7,8,2017-05-02,1,2,0.0,0.0,251
11.5,2.1,8,2017-05-02,1,1,0.0,0.0,306
17.5,2.4,8,2017-05-02,1,2,0.0,0.0,468
13.0,1.85,8,2017-05-02,1,2,0.0,0.0,304
5.5,0.85,8,2017-05-02,1,1,0.0,0.0,473
3.0,0.2,8,2017-05-02,1,2,0.0,0.0,328
14.0,2.1,8,2017-05-02,1,1,0.0,0.0,138
5.5,0.72,8,2017-05-02,1,2,0.0,0.0,86
5.0,0.67,8,2017-05-02,1,1,0.0,0.0,460
4.0,0.5,8,2017-05-02,1,2,0.0,0.0,208
5.5,0.66,8,2017-05-02,1,2,0.0,0.0,301
6.0,0.69,8,2017-05-02,1,1,0.0,0.0,499
43.5,14.4,8,2017-05-02,1,1,0.0,0.0,308
16.0,1.6,8,2017-05-02,1,1,0.0,0.0,302
8.0,1.55,8,2017-05-02,1,1,0.0,0.0,327
23.5,7.27,8,2017-05-02,1,1,0.0,0.0,350
4.0,0.38,8,2017-05-02,1,1,0.0,0.0,279
34.5,11.34,8,2017-05-02,1,1,0.0,0.0,437
14.5,1.42,8,2017-05-02,1,1,0.0,0.0,304
15.0,3.3,8,2017-05-02,1,1,0.0,0.0,477
8.0,1.2,8,2017-05-02,1,1,0.0,0.0,304
5.0,0.6,8,2017-05-02,1,1,0.0,0.0,280
18.5,3.84,8,2017-05-02,1,2,0.0,0.0,198
12.5,1.48,8,2017-05-02,1,1,0.0,0.0,399
6.5,0.7,8,2017-05-02,1,2,0.0,0.0,270
12.5,2.29,8,2017-05-02,1,1,0.0,0.0,285
4.5,0.85,8,2017-05-02,1,2,0.0,0.0,380
4.5,0.59,8,2017-05-02,1,1,0.0,0.0,216
17.5,4.09,8,2017-05-02,1,1,0.0,0.0,243
9.5,1.07,8,2017-05-02,1,1,0.0,0.0,325
7.0,1.28,8,2017-05-02,1,2,0.0,0.0,487
16.0,2.6,8,2017-05-02,1,1,0.0,0.0,495
7.0,0.7,8,2017-05-02,1,2,0.0,0.0,98
11.5,1.0,8,2017-05-02,1,1,0.0,0.0,209
6.5,1.14,8,2017-05-02,1,1,0.0,0.0,495
15.0,1.65,8,2017-05-02,1,2,0.0,0.0,463
19.5,3.37,8,2017-05-02,1,1,0.0,0.0,373
7.0,1.0,8,2017-05-02,1,1,0.0,0.0,404
13.0,1.9,8,2017-05-02,1,1,0.0,0.0,322
15.0,1.08,8,2017-05-02,1,1,0.0,0.0,269
4.0,0.46,8,2017-05-02,1,1,0.0,0.0,307
12.0,1.8,8,2017-05-02,1,1,0.0,0.0,301
18.5,2.05,8,2017-05-02,1,1,0.0,0.0,346
6.5,0.8,8,2017-05-02,1,2,0.0,0.0,392
7.0,1.3,8,2017-05-02,1,1,0.0,0.0,495
7.0,0.9,8,2017-05-02,1,2,0.0,0.0,216
17.0,3.6,8,2017-05-02,1,2,0.0,0.0,394
5.0,0.42,8,2017-05-02,1,2,0.0,0.0,369
9.5,1.15,8,2017-05-02,1,1,0.0,0.0,480
6.5,0.7,8,2017-05-02,1,1,0.0,0.0,91
6.5,0.84,8,2017-05-02,1,1,0.0,0.0,356
9.0,0.9,8,2017-05-02,1,2,0.0,0.0,218
33.5,5.84,8,2017-05-02,1,1,0.0,0.0,230
16.0,3.45,8,2017-05-02,1,1,0.0,0.0,292
11.5,1.77,8,2017-05-02,1,2,0.0,0.0,183
5.0,0.6,8,2017-05-02,1,2,0.0,0.0,278
15.0,3.5,8,2017-05-02,1,1,0.0,0.0,369
12.0,2.0,8,2017-05-02,1,2,0.0,0.0,116
16.0,2.8,8,2017-05-02,1,1,0.0,0.0,400
52.0,17.36,8,2017-05-02,2,1,0.0,5.76,293
8.5,1.53,8,2017-05-02,1,2,0.0,0.0,293
7.0,1.27,8,2017-05-02,1,2,0.0,0.0,395
12.0,1.81,8,2017-05-02,1,1,0.0,0.0,491
7.0,1.09,8,2017-05-02,1,1,0.0,0.0,498
5.5,0.58,8,2017-05-02,1,2,0.0,0.0,288
7.5,1.31,8,2017-05-02,1,1,0.0,0.0,249
9.5,1.58,8,2017-05-02,1,1,0.0,0.0,260
10.0,1.7,8,2017-05-02,1,1,0.0,0.0,356
55.5,15.3,8,2017-05-02,1,1,0.0,0.0,172
8.0,0.9,8,2017-05-02,1,2,0.0,0.0,333
12.0,1.6,8,2017-05-02,1,2,0.0,0.0,367
10.5,1.39,8,2017-05-02,1,1,0.0,0.0,500
5.5,0.89,8,2017-05-02,1,1,0.0,0.0,116
3.0,0.2,8,2017-05-02,1,2,0.0,0.0,339
10.5,1.3,8,2017-05-02,1,1,0.0,0.0,304
10.5,1.6,8,2017-05-02,1,1,0.0,0.0,265
11.5,1.5,8,2017-05-02,1,2,0.0,0.0,463
6.5,1.0,8,2017-05-02,1,1,0.0,0.0,314
7.5,1.1,8,2017-05-02,1,1,0.0,0.0,261
12.5,1.5,8,2017-05-02,1,1,0.0,0.0,302
19.0,2.9,8,2017-05-02,1,1,0.0,0.0,528
9.0,1.5,8,2017-05-02,1,1,0.0,0.0,395
